BRAND NAME,PRODUCT NAME,CATEGORY,SUBCATEGORY,INGREDIENTS,NOVA Group
Heinz,Five Beanz - Heinz - 415 g,"Plant-based foods and beverages,  Plant-based foods"," Baked beans in tomato sauce,  Beans in tomato sauce","Mixed beans in variable proportions (52%, Haricot beans, Pinto beans, Cannellini beans, Borlotti beans, Red Kidney beans), Tomatoes (37%), Water, Sugar, Modified Cornflour, Spirit Vinegar, Salt, Spice Extracts, Herb Extract",Processed foods
Hellmann's,Hellmann's Real Mayonnaise - 800 g,"Condiments,  Sauces"," Mayonnaises,  Groceries","Rapeseed oil (78%), water, pasteurised free range EGG & EGG Yolk (7.9%), spirit vinegar, salt, sugar, lemon juice concentrate, antioxidant (calcium disodium EDTA), flavourings, paprika extract",Ultra processed foods
Eat Real,Hummus Chips Tomato & Basil Flavour - Eat Real - 135 g,"Snacks,  Salty snacks"," Chips and fries,  Crisps","Chickpea Flour 24%, Rice, Potato Starch, Rapeseed Oil, Corn Flour, Tomato & Basil Seasoning 7% (Rice Flour, Sugar, Dextrose, Salt, Tomato Powder, Yeast Extract Powder, Onion Powder, Herbs (basil, parsley), Garlic Powder, Citric Acid, Natural Flavouring, Spice (cayenne pepper), Colour, Paprika Extract)), Salt.",Ultra processed foods
"Kinder, Ferrero",Schoko-Bons - Kinder - 300 g,"Snacks,  Sweet snacks"," Candies,  Milk chocolate candies","French: 
                    
                    Chocolat supérieur au LAIT 50% (sucre, LAIT en poudre, beurre de cacao, pâte de cacao, émulsifiants: lécithines [SOJA], arômes), sucre, LAIT écrémé en poudre, huile de palme, NOISETTES 5,8%, BEURRE concentré, chocolat noir (sucre, pâte de cacao, beurre de cacao, émulsifiants : lécithines [SOJA], arômes), agents d'enrobage (gomme arabique, shellac), sirop de glucose, émulsifiants: lécithines [SOJA], arômes.",Ultra processed foods
Solís,Fried Totmato Sauce - Solís - 350 g,"Condiments,  Sauces"," Tomato sauces,  Fried tomato sauces","tomato and tomato paste (167 g of tomato to produce 100 g of tomato sauce), sunflower oil, sugar, modified starch corn, salt, onion, garlic, white pepper and natural aromas",Ultra processed foods
Mutti,Polpa Chopped Tomatoes (Organic) - Mutti - 400g,"Plant-based foods and beverages,  Plant-based foods"," Canned tomatoes,  Tomato pulps","French: 
                    
                    tomate biologique",Unprocessed or minimally processed foods
"Maille, Unilever",Maille Vinaigre Balsamique de Modène 25 cl - 250 ml,"Condiments,  Vinegars"," Balsamic vinegars of Modena,  Groceries","French: 
                    
                    Vinaigre de vin (dont SULFITES), moût de raisin cuit (dont SULFITES), moût de raisin concentré (dont SULFITES), colorant : caramel E150d (dont SULFITES).",Ultra processed foods
Fleury Michon,Rôti de Porc - 25% de Sel* - Fleury Michon - 210 g,"Meats and their products,  Meats"," Pork roasts,  Prepared meats with less salt","pork tenderloin, salt, broth (water, herbes de provence (0,1%), garlic), dextrose from maize, pepper (0,1%), antioxidant : sodium ascorbate, preservative : sodium nitrite, colouring : plain caramel",Ultra processed foods
Sojade,So soja à la grecque nature - Sojade - 400 g,"Plant-based foods and beverages,  Fermented foods"," Soy milk yogurts,  Plain soy yogurts","French: 
                    
                    jus de soja 99% (eau, graines de soja* 11,9%), épaississant (pectine), ferments sélectionnés",Ultra processed foods
"Goldähren, Lieken, Aldi","Sandwichtoast - Vollkorn - Goldähren - 750 g (20 x 37,5 g)","Plant-based foods and beverages,  Plant-based foods"," Wholemeal breads,  Wholemeal sliced breads","German: 
                    
                    57% Weizenvollkornmehl, Wasser, Weizensauerteig (Weizenmehl, Wasser), Rapsöl, Weizenmehl, Zucker, Hefe, Salz, Säureregulator: Natriumacetate.",Processed foods
Kallø,Kallo Organic Beef Stock Cubes 8 Pack - Kallø - 88 g,"Condiments,  Meals"," Bouillon cubes,  Groceries","Sea salt, potato starch, sustainable palm fat, vegetables (onion, carrot, mushroom), sugar, beef natural flavour, caramelized sugar, yeast extract, beef powder (1.5%), beef fat (1.2%), herbs and spices (parsley*, black pepper, rosemary, garlic, turmeric, bay)",Processed foods
Nestlé,Nestle Corn Flakes - 500g,"Plant-based foods and beverages,  Plant-based foods"," Extruded flakes,  Corn flakes",NORI Food Fac 200 CHRUP 210 7 P3 itaminov cave A CHRUNKA 5 vitoria UTNE A KRAVE SWIADOMIE NUTRISCORE PREMYSLENE AB DE 500 g C CORN DE kwan vyskoudejte také kualto the Beling og reyn reus do odporeningo pojemnika Wiwe informace na www.nestle-cereals.com/pl/core bformacja o Nutri-Score nie dotyczy batonów Nestle CORN FLAKES Viac informácii na www.nestle-cereals.com/sk/buttacore Informace o Nutri-Score sa nevarahuju na tycinky Nestle CORN FLAS Vice informaci na: www.nestle-cereals.com/ca/nutri-ac Informace o Nutri-Score se nevatahuj na tyčinky Nestle CORN FLAKES ob haw www 5900020 004697 LE CON FLAKES-Chrupiące platki kukurydziane z witam /Chrumkavé kukuričné plienky s vitamin Kad kuskuad Aisky s vitaminy Bor vien will Be www.w N,Ultra processed foods
"Best foods, Lotto",Mega nuts - Best foods - 60g,Snacks,Snacks,"corn grits (61,00 % ) , vegetable oil (sunflower oil), peanut paste (34%), hazelnut paste (0,5%), salt, may contain traces of gluten, milk, soya and lupines",Processed foods
Kania,Kania - 750g,"Condiments,  Salts"," Table salts,  fr:Sels fins","French: 
                    
                    Sel, iode (iodure de sodium, iodate de potassium), antiagglomérant: ferrocyanure de sodium.",Processed culinary ingredients
Pepsi,Pepsi,"Beverages,  Carbonated drinks"," Sodas,  Sweetened beverages",The ingredients of the product must be specified in order to determine the NOVA group.,Food processing level unknown
Findus,Colin d'Alaska MSC - 7 Céréales & Graines - Findus - 250 g (2 x 125 g),"Seafood,  Fishes and their products"," Frozen ready-made meals,  Breaded Alaska pollock","French: 
Colin d'Alaska 54%, farine de blé 12%, eau, chapelure 5,6% (farine de blé complet 4,8%, levure, sel), huile de colza, graines de tournesol 1,7%, sarrasin 1,6%, graines de citrouille 1,6%, farine de riz 1,0%, graines de lin 1,0%, amidon de blé, quinoa 0,98%, sel, grains de millet 0,56%, graines de pavot 0,42%, moutarde, poudre à lever (bicarbonate d'ammonium), huile de tournesol, curcuma.",Processed foods
"BENENUTS, Plaisir brut","Bénénuts Plaisir brut Mélange de noix amandes, noix, cajous, noisettes - 140 g","Plant-based foods and beverages,  Plant-based foods"," fr:Mélange apéritif non salé,  fr:Mélange de fruits à coques","French: 
AMANDES,CERNEAUX DE NOIX,NOIX DE CAJOU,NOISETTES,huile de tournesol",Processed foods
"Milka, Mondelez",Milka Haselnusscreme - 600g,"Plant-based foods and beverages,  Plant-based foods"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, sunflower oil (28%), sweet whey powder (from milk), hazelnut mass (5%), low-fat cocoa powder, skimmed milk powder, cocoa butter, emulsifier (sunflower lecithins), table salt, flavourings, may contain wheat, other nuts and peanuts",Ultra processed foods
Garofalo,Pesto verde - Garofalo - 175 g,"Condiments,  Sauces"," Pestos,  Green pestos","French: 
                    
                    Basilico genovese AOP 45%, huile de tournesol, eau, PARMIGIANO REGGIANO AOP (LAIT) 4,5%, sel marin, sucre, farine et concassé de NOIX DE CAJOU (FRUITS A COQUES), acidifiant : acide lactique, arômes naturels, anti-oxydant : acide ascorbique, ail.",Ultra processed foods
Sondey,Biscuits au Choconussa - Sondey - 175 g,"Snacks,  Sweet snacks"," Biscuits,  Chocolate biscuits","wheat flour, sugar, palm fat, 4,8% hazelnuts, skimmed milk powder, glucose-fructose syrup, whey powder (milk), lean cocoa powder, wheat starch, emulsifier: lecithins (sunflower), lifting powders: diphosphates, sodium carbonates, ammonium carbonates, salt, barley malt flour, natural vanilla flavor, natural flavor, sunflower oil, rapeseed oil",Ultra processed foods
"Grainéa, E.Leclerc, Marque repère",Grainéa - 500 g e,"Plant-based foods and beverages,  Plant-based foods"," Mueslis,  Mueslis with fruits","oatmeal 41%, sugar, raisins 9.2% (grapes, sunflower oil), coconut in toasted slices 6.5%, flavoured sweet banana chips 6.5% (bananas, coconut oil, sugar, flavouring), sunflower oil (sunflower oil, antioxidant: extract rich in tocopherols), wheat flour 5.6%, wheat flakes 5.4%, maize 3.1%, rice meal 1.7%,  sweetened dried cranberries 1.7% (sugar, cane - banks, sunflower oil), apples in dried strips 1.5%, glucose syrup, coconut powder 1.3%, salt, flavouring, barley malt extract, caramel (sugar, water), wheat malt flour 0.07%, emulsifier: e471, caramelized sugar powder",Ultra processed foods
Harvest Morn,Muesli - Harvest Morn - 1.1 kg,"Plant-based foods and beverages,  Plant-based foods"," Mueslis,  Mueslis with fruits","toasted wheat fakes (wheat, barley malt extract) wholegrain oat flakes, raisins (12%), sugar, whey powder (milk), flakes almonds (1%), Hazelnuts (1%)",Ultra processed foods
Hacendado,Margarina - Hacendado - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Vegetable fats,  Margarines","vegetable oil (sunflower), water, vegetable fats (palm, coconut), skimmed milk powder, salt",Processed culinary ingredients
Pierre Martinet,Taboulé à l’avocat - Pierre Martinet - 220 g,"Plant-based foods and beverages,  Meals"," Meals,  Tabbouleh","French: 
                    
                    Semoule de blé dur réhydratée 34,6% (semoule de blé dur, eau), pois chiches cuits 20,4% (pois chiches, eau, sel), avocats 11,9%, carottes jaunes 9,6%, oignons, huile de colza, amandes 3,6%, graines de courges 3,3%, baies de goji déshydratées 1,8%, ciboulette, épices, jus d'orange concentré, jus de citron vert concentré, vinaigre d'alcool, poivrons déshydratés, sel, antioxydant : acide ascorbique.",Processed foods
Herta,Blanc de poulet à la broche sans nitrite - Herta - 140 g,"Meats and their products,  Prepared meats"," Poultry hams,  Cooked chicken breast slices",": 
                    
                    Filets de poulet 92,4%, Sel, Bouillon (eau, viande, as et graisse de poulet, sel, extraits de carotte et d'oignon, sucre, ail, thym, laurier, livèche, curcuma, paprika, poivre noir, muscade, clou de girofle, antioxydant : extrait de romarin), Arôme naturel (présence naturelle de polyphénols), Arôme, Sel minéral (potassium), Conservateur: acétate de potassium, Antioxydont: acide ascorbique, Colorant : caramel ordinaire",Ultra processed foods
"Nestlé, Nescafé",Nescafe strong 3in1 - Nestlé,"Plant-based foods and beverages,  Beverages"," Instant beverages,  Instant coffees","Spanish: 
                    
                    14p Romania SRL, STO Constantinescu pr. 3. sc. A et. 7, sector 2, Bucureşti de preferinţă 020339, Romania Tel: 021 2044000 Preparat pudră pe bază de cafea instant, cu zahăr şi Just de lapte: NESCAFE 3in1 STRONG. Ingrediente: zahar (56,8%), cafea instant (15,7%), sirop de glucoză, ulei vegetal total hidrogenat din samburi de palmier, stabilizatori (fosfați de potasiu, citrați de sodiu, Decorate nestle.com www.nescafe.ro www.neste.ro Valoare energetic Grasimi - din care acizi graşi satura Patrifosfati), proteine din lapte (0,6%), Glucide Sare din care zabar igatori (mono - şi digliceride ale acizilor graşi F Steri ai acizilor mono - si diacetil tartric cu mono - si Pre digliceridele acizilor graşi), arome. 14 Per 100 g P 1708 kJ/405 kcal 939 859 769 600 540 00",Food processing level unknown
CARREFOUR CLASSIC',Pain de mie complet maxi tranches - CARREFOUR CLASSIC',"Plant-based foods and beverages,  Plant-based foods"," Wholemeal breads,  Wholemeal sliced breads",": 
                    
                    Farine complète de blé 61%, eau, huile de colza, sucre, farine de blé 1,3%, arôme naturel de vanille (contient alcool), levure, gluten de blé, sel, vinaigre d'alcool, émulsifiant : mono - et diglycérides d'acides gras, agent de traitement de la farine : acide ascorbique.",Ultra processed foods
Bonduelle,Lunch Bowl Boulgour - Bonduelle - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Mix of cereals and legumes,  Prepared lentils","rehydrated beluga lentils 20%, water, pre-cooked bulgur (dub wheat) 18%, roasted red peppers 13%, grilled eggplant 12.5%, cherry tomatoes in slices 11.5%, extra virgin olive oil 3%, salt, rosemary, black pepper",Processed foods
MC CAIN,Frites Just au Four Classique - MC CAIN - 700 g,"Chips and fries,  Frozen foods"," Frozen French fries to roast,  Frozen fries","French: 
                    
                    Pommes de terre (91,5%), enrobage (4,5% ) (amidon modifié, farine de riz, dextrine, fibre de pois, épaississant: gomme xanthane, protéine de pois, colorant: curcumine, extrait de paprika) , huile de tournesol (3,5%), sel.",Ultra processed foods
Rügenwalder Mühle,Veganer Schinkenspicker - Rügenwalder Mühle - 80g,"Meat alternatives,  Meat analogues"," Meat analogues,  de:Wurst-Ersatzprodukte","German: 
                    
                    Trinkwasser, Rapsöl 6% Paprika, Verdickungsmittel: Carrageen, Konjak, Tarakernmehl, Guarkernmehl Bambusfasern, Gewürzextrakte, 2% Sonnenblumenprotein, Kochsalz, Traubenzucker, natür - liches Aroma, Citrusfasern, Gewürze, Kartoffelprotein, Farbstoffe: Anthocyane, Carotine. Kann Spuren von Ei, Soja und Weizengluten enthalten.",Ultra processed foods
Hacendado,Almendra sin piel - Hacendado - 200 g,"Plant-based foods and beverages,  Plant-based foods"," Nuts,  Almonds",": 
Almendra sin piel.",Unprocessed or minimally processed foods
Warburtons,Soft Pittas - Warburtons,"Plant-based foods and beverages,  Plant-based foods"," Special breads,  Pitas","Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Wholemeal Wheat Flour, Wheat Gluten, Dextrose, Yeast, Salt, Extra Virgin 8400kJ Olive Oil, Sugar, Emulsifiers: E471, E481; Stabiliser: soon",Ultra processed foods
Saveurs de Nos Régions,Cancoillotte nature - Saveurs de Nos Régions - 250 g,"Dairies,  Fermented foods"," Cancoillottes,  Melted cheese",": 
Lait écrémé caillé, eau, beurre (lait), sels de fonte : phosphates de sodium, diphosphates, triphosphates, polyphosphates, sel.",Ultra processed foods
"Saveurs de nos Régions, Lidl",Préparation de mirabelles de Lorraine - Saveurs de nos Régions - 330 g,"Plant-based foods and beverages,  Plant-based foods"," Mirabelle plum jams,  fr:Mirabelles de Lorraine","French: 
                    
                    65% mirabelles de Lorraine, sucre de canne, jus de citron concentré, gélifiant: pectines. Présence exceptionnelle de noyaux.",Ultra processed foods
Lovilio,Mozarella - Lovilio - 250 g,"Dairies,  Fermented foods"," Stretched-curd cheeses,  Mozzarella","mozzarella cheese (milk), potato starch, salt",Processed foods
SIMPLEMENT BON ET BIO,Biscottes au germe de blé - SIMPLEMENT BON ET BIO - 300 g,"Plant-based foods and beverages,  Plant-based foods"," Breads,  Rusks","French: 
                    
                    Farine de blé, huile de tournesol, sucre, levure, germe de blé 1,2%, sel, gluten de blé, agent de traitement de la farine : acide ascorbique.",Ultra processed foods
Panzani,PZ RAVIOLI BOLO 800GR - Panzani - 800 g,"Plant-based foods and beverages,  Plant-based foods"," Bolognese Raviolis,  Canned raviolis","sauce: water, pork and beef, tomato concentrate, vegetables (onions, carrots), white wine, salt, parsley, garlic, extra virgin olive oil, sugar, flavourings (including milk), smoke flavouring, processed corn starch, vitamins b1, b2,
paste: durum wheat semolina, water, egg white,
stuffing: beef 5%, breadcrumbs (wheat flour, salt, rapeseed oil, yeast, paprika), vegetables (carrots, onions), salt",Ultra processed foods
St Michel,Brownie à la Française Chocolat 🍫 - St Michel - 240g ℮,"Snacks,  Desserts"," Chocolate cakes,  Brownies","Œufs de poules élevées en plein air 18.6%, chocolat 18.1% (sucre, pâte de cacao, beurre de cacao, émulsifiant : lécithines de tournesol), huile de colza, sucre, farine de blé 10.9%, pépites de chocolat au lait 8.1% (sucre, lait entier en poudre, beurre de cacao, pâte de cacao, lactose, émulsifiant : lécithines de tournesol, arôme naturel de vanille), stabilisant: glycérol, sirop de glucose-fructose, cacao en poudre, sel. Traces éventuelles de soja et fruits à coque.",Ultra processed foods
Harrys,Pain 100% mie longue conservation - Harrys - 325 g,"Plant-based foods and beverages,  Plant-based foods"," Breads,  Sliced breads","wheat flour 63%, water, sugar, rapeseed oil, salt, vinegar, yeast, bean flour, wheat gluten, flavoring (contains alcohol), maple syrup extract, may contain traces of eggs, soy, milk, nuts, sesame seeds",Ultra processed foods
Bjorg,Seitan veggie - bjorg - 170 g (2 x 85 g),"Plant-based foods and beverages,  Plant-based foods"," Meat alternatives,  Seitan","water, wheat gluten 18.7%, wheat flour 13.2%, soy sauce* (water, soybeans, sea salt, aspergilus oryzae), tomatoes,quot,, garlic*, sea salt, ginger,quot,, bay leaves,quot,, thyme,*organic ingredients",Ultra processed foods
"Carrefour Bio, Carrefour",Boisson au riz - Carrefour Bio - 1 l,"Beverages and beverages preparations,  Plant-based foods and beverages"," Rice-based drinks,  Plain rice-based drinks","French: 
                    
                    Eau, riz* 14%, huile de tournesol*, arôme naturel de caramel, sel marin.",Ultra processed foods
"Carrefour, CMI (Carrefour Marchandises Internationales), Groupe Carrefour",Maxi Tranches Céréales - Carrefour - 550 g,"Plant-based foods and beverages,  Plant-based foods"," Sliced breads,  Multigrain sliced breads","cereal flour 53% (wheat flour 49%, rye flour 2%, barley flour 1.1%, buckwheat flour 0.6%, whole oatmeal 0.6%, roasted barley malt flour 0.1%, rice flour 0.08%), water, sugar, sunflower seeds 3.3%, rapeseed, brown flaxseed 2.2%, yeast, wheat gluten, durum wheat semolina 1.6%,  wheat bran, salt, barley flakes 0.8%, emulsifier: mono - and fatty acid diglycerides, preservative: calcium propionate, dehydrated and devitalized rye sourdough, flour processing agent: ascorbic acid, may contain traces of milk, eggs, soy and sesame seeds",Ultra processed foods
Chabrior,Petit beurre - Chabrior - 200 g,"Snacks,  Sweet snacks"," Biscuits,  Petit-Beurre","French: 
                    
                    Farine de blé 64%, sucre, beurre concentré (dont lait) 10,25% (soit 12,5% en beurre reconstitué), amidon de blé, poudre de lait écrémé, poudres à lever: carbonates d'ammonium, carbonates de sodium, diphosphates, extrait de malt d'orge, oeufs, sirop de glucose, sel, arôme. Traces éventuelles de gluten, arachides, soja et fruits à coque.",Ultra processed foods
"Intermarché, Ivoria",Pâte à tartiner aux noisettes - Intermarché - 750g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, vegetable oils (rapeseed, palm), hazelnuts 13%, lean cocoa powder 7%, skim milk powder 5.5%, whey powder*, lactose*, emulsifier: sunflower lecithin, natural vanilla flavour, *of which milk",Ultra processed foods
U,Pain de mie sandwich complet - U - 825 g,"Plant-based foods and beverages,  Plant-based foods"," Wholemeal breads,  Wholemeal sliced breads",": 
                    
                    Farine complète de blé (france) 61%, eau, huile de colza, sucre, levure, gluten de blé, sel, farine de blé (france) 0.5%, émulsifiant : mono - et diglycérides d acides gras, conservateur : propionate de calcium, agent de traitement de la farine : acide ascorbique. certains ingrédients de ce produit de proviennent pas de france.",Ultra processed foods
U,Yaourt à la Grecque brassé nature - U - 4 x 150 g,"Dairies,  Fermented foods"," Plain greek-style yogurts,  Plain stirred yogurts","French: 
Lait entier* 86,4% (Origine : France), crème* 13,6% (Origine France), ferments (dont lait). *Issu d'animaux nourris sans OGM (<0,9%).",Unprocessed or minimally processed foods
U,Fromage Pyramide de chèvre frais - U - 150 g,"Dairies,  Fermented foods"," Goat cheeses,  Cream cheeses","pasteurized goat milk (origin: france), goat milk protein, pasteurized goat milk creme (origin: eu), salt, natural flavor of goat cheese, ferments, rennet",Processed foods
Carrefour Le Marché,Baguette Rustique - Carrefour Le Marché - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Céréales et pommes de terre,  Pains","wheat flour , water, salt, yeast, wheat gluten , flour from malted wheat, treatment agent flour : ascorbic acid",Ultra processed foods
"Nestlé, Fitness",Fitness Original - Nestlé - 625 g,"Plant-based foods and beverages,  Plant-based foods"," Cereals and their products,  Breakfast cereals","complete cereals 58% (whole wheat 50,9%, oats complete 7,1%), rice, sugar, inverted sugar syrup, barley malt extract, vitamins and minerals (calcium carbonate, niacin, iron, pantothenic acid, vitamin b6, riboflavin, folic acid), salt, glucose syrup, molasses, antioxidant: extract rich in tocopherols",Ultra processed foods
"Terres et Céréales Bio, Terres et Céréales",Muesli croustillant avoine myrtilles chia - Terres et Céréales Bio - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Mueslis,  Mueslis with fruits","French: 
                    
                    Flocons d'avoine* 48,5%, sucre de canne complet* , huile de tournesol , billettes de riz* riz*, sel), canneberges séchées* 5% (canneberges*, sucre de canne*, huile de tournesol*), sirop de riz* (extraits de riz*, eau), tapioca*, amandes* 2,5%, graines de chia* (salvia hispanica) 2 %, myrtilles* 1,5%. * Ingrédients issus de l'Agriculture Biologique.",Processed foods
"Marque Repère, Nat&Vie",Tartine et cuisson Oméga3 - Marque Repère - 500 g,"Plant-based foods and beverages,  Plant-based foods"," fr:Matière grasse à tartiner et à cuire à 50 % de matières grasses,  fr:Riche en acides gras oméga 3","water, vegetable oils 38% (rapeseed, palm kernel, flax), vegetable fats 12% (palm, copra), salt 0,4%, emulsifiers: e471, lecithins (sunflower), partially skimmed milk powder, flavors, preservative: e202, acidifier: lactic acid, color: carotenoids",Ultra processed foods
"Les Croisés, Marque Repère",Bûche de chèvre fondante - Les Croisés - 180 g,"Dairies,  Fermented foods"," Goat cheeses,  Cheese buche from goat's milk","French: 
                    
                    Lait de chèvre pasteurisé (origine : France), sel, ferments lactiques et d'affinage (dont lait).",Processed foods
Wrigley's,Chicles de hierbabuena sin azúcar - Wrigley's - 84 g,"Snacks,  Sweet snacks"," Chewing gum,  Sugar-free chewing gum","sweeteners xilitol, sorbitol, aspartame, mannitol, acesulfame k, sucralose, base gum, glycerin moisturizer, arabic gum thickener, aromas, soy lecithin emulgent, carnauba wax coating agent, bha antioxidant, contains a source of phenylalanine",Ultra processed foods
"Milka, Mondelez",Milka bílá - 100g,"Snacks,  Sweet snacks"," Chocolates,  White chocolates","sugar, cocoa butter, skimmed-milk powder, sweet whey powder ( milk ), pure butter fat , emulsifier ( soy lecithin ), natural flavor",Ultra processed foods
"Ritz, Ritz - Mondelez",Crackers salados - Ritz - 200 g,"Snacks,  Salty snacks"," Appetizers,  Crackers","wheat flour, palm oil, sugar, raising
agents (ammonium hydrogen carbonate, calcium
phosphates, sodium hydrogen carbonate, potassium
hydrogen carbonate), glucose-fructose syrup, salt, barley
malt flour,

may contain egg, milk, sesame",Ultra processed foods
Warburtons,Warburtons 6 Brown Sandwich Thins,"Plant-based foods and beverages,  Plant-based foods"," Breads,  Sliced breads","wheat flour [with calcium, iron, niacin (b3) and thiamin (b1)] and wholemeal wheat flour, water, vegetable oil (rapeseed, sustainable palm), wheat gluten, dextrose, salt, if st un iyeast, barley malt flour, sugar, stabiliser: xanthan gum, emulsifiers: e471, e481, gelling agent: e466, caramelised sugar, soya flour, preservative: calcium propionate (added to inhibit mould growth), flour treatment agents: ascorbic acid (vitamin c), e920 (vegetarian), pa o fo",Ultra processed foods
Rowse,Honey - Rowse - 680 g,"Breakfasts,  Spreads"," Sweeteners,  Honeys",honey,Processed culinary ingredients
"Nestea, Coca-Cola","Nestea Thé glacé saveur citron - 1,5 l","Beverages and beverages preparations,  Plant-based foods and beverages"," Lemon flavored iced teas,  Sweetened beverages","water, sugar, fructose, acidic citric acid and malic acid, tea extract (1g / l, 0,1%), lemon juice concentrate (0,1%), natural flavors, acidity corrector sodium citrates, acidic antioxidant ascorbic acid, sweetener steviol glycosides, pasteurized",Ultra processed foods
Mimosa,Leite Meio-Gordo - Mimosa - 1 l,"Dairies,  Milks"," Semi-skimmed milks,  UHT Milks",The ingredients of the product must be specified in order to determine the NOVA group.,Food processing level unknown
Perrier,Perrier & Juice pêche & cerise - 25 cl,"Beverages,  Waters"," Flavored waters,  Boissons","French: 
                    
                    eau minérale naturelle gazeuse PERRIER 80%, jus de fruit à base de concentré 15,7% (pêche 6,6%, citron 5,7%, pomme 2,5%, cerise 1%), sirop de sucre, arômes naturels, arôme naturel de cerise avec autres arômes naturels, jus concentré de carote.",Ultra processed foods
Lu,Mini Granola - Lu - 160 g,"Snacks,  Sweet snacks"," Chocolate biscuits,  Drop cookies","wheat flour (45.6%), sugar, palm oil, cocoa paste, cocoa butter, baking powder (sodium acid carbonate, ammonium acid carbonate), dextrose, glucose-fructose syrup, salt, whey powder (milk), emulsifiers (soy lecithin, sunflower lecithin), flavouring",Ultra processed foods
LU,Petit moelleux - LU - 140 g,"Snacks,  Sweet snacks"," Biscuits and cakes,  Biscuits","wheat flour 23 %, eggs 22 %, glucose-fructose syrup, sugar, rapeseed oil, pastry butter 5,5 %, stabilizer (glycerol), baking powders (disodium diphosphate, sodium acid carbonate), skimmed milk powder 0,3 %, whole milk powder 0,2 % (milk equivalent 5,5 %), salt, emulsifier (e471), flavourings",Ultra processed foods
Cirio,passata - Cirio - 500g,"Plant-based foods and beverages,  Plant-based foods"," Strained tomatoes,  Groceries","tomatoes, salt, acidity regulator: citric acid",Processed foods
"NUTELLA, FERRERO, Mixte, Nutella b-ready",Nutella Be-Ready - 44 g,"Snacks,  Breakfasts"," fr:Pâtes à tartiner,  Hazelnut spreads","chocolate spread with hazelnuts and cocoa for 81,5 % (sugar, palm oil, hazelnuts 13%, skimmed milk powder 8,7%, lean cocoa is 7,4%, emulsifiers : lecithins [soy] , vanillin), wheat flour 16%, yeast of beer, malt extract, salt, skimmed milk powder, emulsifiers : lecithins [soy] , protein, wheat, milk proteins, water",Ultra processed foods
Illy,Coffee Beans - Illy - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Coffee beans,  Torrefacto coffees","coffee roasted in beans (produced and packaged in a protected atmosphere), 100% arabica
less than 1,5% caffeine",Food processing level unknown
Rio Mare,"Insalatissime, Messicana - Rio Mare - 160g","Plant-based foods and beverages,  Plant-based foods"," fr:Salades de thon en conserve,  Salads","tuna 26% (Euthynus Katsuwonus pelamis), red beans 23%, corn 20%, corn oil, carrots 6%, peppers 6%, salt, flavorings, may contain gluten",Ultra processed foods
"Barilla, Barilla Piccolini",Pâtes mini penne rigate piccolini 500g - Barilla - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Penne rigate,  Food","French: 
                    
                    Semoule de BLÉ dur, eau. Peut contenir des traces de SOJA et de MOUTARDE.",Unprocessed or minimally processed foods
Cola Cao,Cola Cao 0% - 300 g,"Beverages,  Breakfasts"," Instant beverages,  Chocolate powders","defatted cocoa powder (42%), maltodextrin, cream of cereal kola-malted (wheat flour , malt extract from barley , natural aroma: kola nut extract), fiber, mineral salts (calcium and phosphate), emulsifier (soy lecithin ), anti-caking agent (tricalcium phosphate), flavourings, sweeteners (aspartame, acesulfame), salt",Ultra processed foods
